response_id,task,duration,offer,outcome,price,rtb,social_proof,answer
R_0ezucdFLFLIYzK1,7,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,"unique daily games, challenges and exercises",a method that has helped thousands,1
R_0ezucdFLFLIYzK1,8,3 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,the support of a community of people just like you,a method that has helped thousands,1
R_0ezucdFLFLIYzK1,9,3 months,improve your health for the long-run,changing your sleep mindset,$40/month,"unique daily games, challenges and exercises",professional athletes,1
R_0ieh7fHFoAgqzMl,1,12 months,help you lead a better life,changing your sleep mindset,$30/month,daily text messages from a coach,leading researchers,2
R_0ieh7fHFoAgqzMl,10,3 months,help you sleep without more pills,changing your sleep mindset,$40/month,daily text messages from a coach,a method that has helped thousands,2
R_0ieh7fHFoAgqzMl,11,6 months,improve your sleep sustainably,empowering you to take back your sleep habits,$30/month,"personalized, human coaching",a method that has helped thousands,2
R_0ieh7fHFoAgqzMl,12,3 months,improve your health for the long-run,empowering you to take back your sleep habits,$40/month,a program created just for you,a method that has helped thousands,1
R_0ieh7fHFoAgqzMl,2,12 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,the support of a community of people just like you,scientific evidence,2
R_0ieh7fHFoAgqzMl,3,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$20/month,a program created just for you,professional athletes,2
R_0ieh7fHFoAgqzMl,4,12 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$30/month,"personalized, human coaching",professional athletes,1
R_0ieh7fHFoAgqzMl,5,3 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,the support of a community of people just like you,leading researchers,3
R_0ieh7fHFoAgqzMl,6,12 months,help you sleep without more pills,changing your sleep mindset,$20/month,"unique daily games, challenges and exercises",leading researchers,3
R_0ieh7fHFoAgqzMl,7,12 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$20/month,a program created just for you,professional athletes,1
R_0ieh7fHFoAgqzMl,8,12 months,help you sleep without more pills,breaking bad habits and creating new routines,$20/month,a program created just for you,scientific evidence,3
R_0ieh7fHFoAgqzMl,9,6 months,improve your sleep sustainably,changing your sleep mindset,$20/month,"personalized, human coaching",a method that has helped thousands,2
R_0iW8AOVhrjAj9rX,1,3 months,improve your health for the long-run,changing your sleep mindset,$30/month,"unique daily games, challenges and exercises",a method that has helped thousands,1
R_0iW8AOVhrjAj9rX,10,6 months,help you sleep without more pills,breaking bad habits and creating new routines,$40/month,the support of a community of people just like you,a method that has helped thousands,1
R_0iW8AOVhrjAj9rX,11,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$20/month,the support of a community of people just like you,a method that has helped thousands,1
R_0iW8AOVhrjAj9rX,12,6 months,improve your health for the long-run,changing your sleep mindset,$20/month,a program created just for you,leading researchers,1
R_0iW8AOVhrjAj9rX,2,6 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,the support of a community of people just like you,scientific evidence,1
R_0iW8AOVhrjAj9rX,3,12 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$20/month,"unique daily games, challenges and exercises",professional athletes,1
R_0iW8AOVhrjAj9rX,4,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,scientific evidence,1
R_0iW8AOVhrjAj9rX,5,3 months,help you sleep without more pills,changing your sleep mindset,$30/month,cognitive behavioral therapy,scientific evidence,1
R_0iW8AOVhrjAj9rX,6,6 months,improve your sleep sustainably,empowering you to take back your sleep habits,$20/month,cognitive behavioral therapy,scientific evidence,1
R_0iW8AOVhrjAj9rX,7,12 months,help you sleep without more pills,changing your sleep mindset,$40/month,cognitive behavioral therapy,scientific evidence,1
R_0iW8AOVhrjAj9rX,8,6 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,cognitive behavioral therapy,a method that has helped thousands,1
R_0iW8AOVhrjAj9rX,9,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,a program created just for you,scientific evidence,1
R_0SQn8uuAEHjFqet,1,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$30/month,a program created just for you,scientific evidence,3
R_0SQn8uuAEHjFqet,10,6 months,help you lead a better life,breaking bad habits and creating new routines,$40/month,daily text messages from a coach,leading researchers,2
R_0SQn8uuAEHjFqet,11,3 months,help you sleep without more pills,empowering you to take back your sleep habits,$20/month,the support of a community of people just like you,a method that has helped thousands,3
R_0SQn8uuAEHjFqet,12,6 months,help you sleep without more pills,empowering you to take back your sleep habits,$30/month,"personalized, human coaching",leading researchers,2
R_0SQn8uuAEHjFqet,2,6 months,help you lead a better life,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,professional athletes,3
R_0SQn8uuAEHjFqet,3,3 months,improve your health for the long-run,empowering you to take back your sleep habits,$40/month,the support of a community of people just like you,scientific evidence,1
R_0SQn8uuAEHjFqet,4,12 months,help you sleep without more pills,changing your sleep mindset,$30/month,a program created just for you,scientific evidence,4
R_0SQn8uuAEHjFqet,5,12 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$30/month,"unique daily games, challenges and exercises",professional athletes,4
R_0SQn8uuAEHjFqet,6,3 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$40/month,a program created just for you,professional athletes,1
R_0SQn8uuAEHjFqet,7,3 months,help you lead a better life,changing your sleep mindset,$40/month,the support of a community of people just like you,scientific evidence,1
R_0SQn8uuAEHjFqet,8,6 months,improve your sleep sustainably,changing your sleep mindset,$40/month,the support of a community of people just like you,leading researchers,2
R_0SQn8uuAEHjFqet,9,6 months,help you sleep without more pills,empowering you to take back your sleep habits,$40/month,daily text messages from a coach,a method that has helped thousands,2
R_0THN3dNvAvGq3Nn,1,6 months,help you lead a better life,breaking bad habits and creating new routines,$20/month,the support of a community of people just like you,leading researchers,3
R_0THN3dNvAvGq3Nn,10,6 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$20/month,the support of a community of people just like you,leading researchers,2
R_0THN3dNvAvGq3Nn,11,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,"personalized, human coaching",scientific evidence,3
R_0THN3dNvAvGq3Nn,12,12 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,"unique daily games, challenges and exercises",leading researchers,2
R_0THN3dNvAvGq3Nn,2,12 months,improve your health for the long-run,changing your sleep mindset,$40/month,a program created just for you,professional athletes,2
R_0THN3dNvAvGq3Nn,3,3 months,help you lead a better life,changing your sleep mindset,$40/month,daily text messages from a coach,leading researchers,2
R_0THN3dNvAvGq3Nn,4,3 months,help you sleep without more pills,changing your sleep mindset,$40/month,a program created just for you,leading researchers,2
R_0THN3dNvAvGq3Nn,5,12 months,help you sleep without more pills,changing your sleep mindset,$20/month,a program created just for you,scientific evidence,3
R_0THN3dNvAvGq3Nn,6,3 months,improve your sleep sustainably,breaking bad habits and creating new routines,$40/month,daily text messages from a coach,professional athletes,2
R_0THN3dNvAvGq3Nn,7,6 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$20/month,cognitive behavioral therapy,a method that has helped thousands,3
R_0THN3dNvAvGq3Nn,8,12 months,improve your health for the long-run,empowering you to take back your sleep habits,$30/month,daily text messages from a coach,scientific evidence,2
R_0THN3dNvAvGq3Nn,9,6 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,daily text messages from a coach,scientific evidence,2
R_0W0F8pBDpQZPjUt,1,12 months,improve your health for the long-run,changing your sleep mindset,$30/month,cognitive behavioral therapy,leading researchers,3
R_0W0F8pBDpQZPjUt,10,6 months,help you lead a better life,breaking bad habits and creating new routines,$30/month,"personalized, human coaching",scientific evidence,4
R_0W0F8pBDpQZPjUt,11,3 months,help you lead a better life,breaking bad habits and creating new routines,$30/month,a program created just for you,scientific evidence,3
R_0W0F8pBDpQZPjUt,12,3 months,improve your health for the long-run,empowering you to take back your sleep habits,$30/month,"personalized, human coaching",leading researchers,3
R_0W0F8pBDpQZPjUt,2,6 months,improve your health for the long-run,changing your sleep mindset,$30/month,"personalized, human coaching",scientific evidence,4
R_0W0F8pBDpQZPjUt,3,6 months,help you sleep without more pills,breaking bad habits and creating new routines,$20/month,daily text messages from a coach,leading researchers,3
R_0W0F8pBDpQZPjUt,4,6 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$40/month,the support of a community of people just like you,leading researchers,3
R_0W0F8pBDpQZPjUt,5,3 months,improve your health for the long-run,changing your sleep mindset,$20/month,cognitive behavioral therapy,professional athletes,2
R_0W0F8pBDpQZPjUt,6,6 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$30/month,daily text messages from a coach,leading researchers,3
R_0W0F8pBDpQZPjUt,7,3 months,help you sleep without more pills,empowering you to take back your sleep habits,$20/month,"unique daily games, challenges and exercises",professional athletes,3
R_0W0F8pBDpQZPjUt,8,12 months,help you sleep without more pills,changing your sleep mindset,$20/month,the support of a community of people just like you,leading researchers,3
R_0W0F8pBDpQZPjUt,9,12 months,improve your sleep sustainably,empowering you to take back your sleep habits,$20/month,the support of a community of people just like you,leading researchers,2
R_10B4SZkJOzkxd7m,1,6 months,help you lead a better life,changing your sleep mindset,$30/month,a program created just for you,scientific evidence,1
R_10B4SZkJOzkxd7m,10,3 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$30/month,the support of a community of people just like you,professional athletes,1
R_10B4SZkJOzkxd7m,11,6 months,help you lead a better life,empowering you to take back your sleep habits,$30/month,"unique daily games, challenges and exercises",leading researchers,1
R_10B4SZkJOzkxd7m,12,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,a program created just for you,scientific evidence,3
R_10B4SZkJOzkxd7m,2,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$30/month,a program created just for you,a method that has helped thousands,1
R_10B4SZkJOzkxd7m,3,6 months,help you lead a better life,empowering you to take back your sleep habits,$30/month,"unique daily games, challenges and exercises",a method that has helped thousands,1
R_10B4SZkJOzkxd7m,4,12 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$30/month,"unique daily games, challenges and exercises",leading researchers,1
R_10B4SZkJOzkxd7m,5,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,daily text messages from a coach,a method that has helped thousands,1
R_10B4SZkJOzkxd7m,6,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$20/month,a program created just for you,scientific evidence,1
R_10B4SZkJOzkxd7m,7,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,a program created just for you,professional athletes,1
R_10B4SZkJOzkxd7m,8,3 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,daily text messages from a coach,professional athletes,1
R_10B4SZkJOzkxd7m,9,3 months,improve your sleep sustainably,empowering you to take back your sleep habits,$20/month,a program created just for you,a method that has helped thousands,1
R_10Dyr1e3m7jrhef,1,12 months,improve your health for the long-run,breaking bad habits and creating new routines,$20/month,"unique daily games, challenges and exercises",professional athletes,3
R_10Dyr1e3m7jrhef,10,12 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,"personalized, human coaching",scientific evidence,3
R_10Dyr1e3m7jrhef,11,3 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$40/month,a program created just for you,scientific evidence,3
R_10Dyr1e3m7jrhef,12,6 months,help you lead a better life,empowering you to take back your sleep habits,$30/month,cognitive behavioral therapy,leading researchers,4
R_10Dyr1e3m7jrhef,2,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$30/month,"unique daily games, challenges and exercises",a method that has helped thousands,3
R_10Dyr1e3m7jrhef,3,6 months,help you sleep without more pills,changing your sleep mindset,$20/month,"unique daily games, challenges and exercises",leading researchers,3
R_10Dyr1e3m7jrhef,4,6 months,help you sleep without more pills,empowering you to take back your sleep habits,$20/month,"unique daily games, challenges and exercises",professional athletes,4
R_10Dyr1e3m7jrhef,5,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,leading researchers,3
R_10Dyr1e3m7jrhef,6,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,"unique daily games, challenges and exercises",scientific evidence,4
R_10Dyr1e3m7jrhef,7,12 months,help you lead a better life,changing your sleep mindset,$20/month,cognitive behavioral therapy,a method that has helped thousands,3
R_10Dyr1e3m7jrhef,8,12 months,improve your sleep sustainably,empowering you to take back your sleep habits,$30/month,"personalized, human coaching",professional athletes,2
R_10Dyr1e3m7jrhef,9,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,cognitive behavioral therapy,professional athletes,3
R_10HSe2bbKGbKZ2h,1,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$40/month,daily text messages from a coach,leading researchers,3
R_10HSe2bbKGbKZ2h,10,12 months,help you sleep without more pills,changing your sleep mindset,$20/month,a program created just for you,leading researchers,2
R_10HSe2bbKGbKZ2h,11,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,leading researchers,4
R_10HSe2bbKGbKZ2h,12,6 months,help you sleep without more pills,breaking bad habits and creating new routines,$30/month,daily text messages from a coach,a method that has helped thousands,3
R_10HSe2bbKGbKZ2h,2,3 months,help you sleep without more pills,breaking bad habits and creating new routines,$40/month,cognitive behavioral therapy,a method that has helped thousands,3
R_10HSe2bbKGbKZ2h,3,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$30/month,a program created just for you,scientific evidence,2
R_10HSe2bbKGbKZ2h,4,12 months,help you sleep without more pills,changing your sleep mindset,$30/month,"personalized, human coaching",professional athletes,4
R_10HSe2bbKGbKZ2h,5,12 months,improve your health for the long-run,breaking bad habits and creating new routines,$20/month,a program created just for you,a method that has helped thousands,3
R_10HSe2bbKGbKZ2h,6,6 months,help you lead a better life,changing your sleep mindset,$20/month,cognitive behavioral therapy,a method that has helped thousands,4
R_10HSe2bbKGbKZ2h,7,3 months,help you lead a better life,changing your sleep mindset,$30/month,the support of a community of people just like you,scientific evidence,4
R_10HSe2bbKGbKZ2h,8,6 months,help you lead a better life,breaking bad habits and creating new routines,$40/month,cognitive behavioral therapy,a method that has helped thousands,3
R_10HSe2bbKGbKZ2h,9,6 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,daily text messages from a coach,professional athletes,4
R_10HugIzPKzuo0nv,1,12 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$20/month,a program created just for you,professional athletes,1
R_10HugIzPKzuo0nv,10,6 months,help you lead a better life,changing your sleep mindset,$40/month,cognitive behavioral therapy,leading researchers,1
R_10HugIzPKzuo0nv,11,6 months,help you sleep without more pills,empowering you to take back your sleep habits,$30/month,"unique daily games, challenges and exercises",leading researchers,1
R_10HugIzPKzuo0nv,12,6 months,help you sleep without more pills,empowering you to take back your sleep habits,$20/month,"personalized, human coaching",scientific evidence,1
R_10HugIzPKzuo0nv,2,6 months,improve your sleep sustainably,empowering you to take back your sleep habits,$20/month,daily text messages from a coach,a method that has helped thousands,1
R_10HugIzPKzuo0nv,3,6 months,help you sleep without more pills,changing your sleep mindset,$20/month,cognitive behavioral therapy,scientific evidence,1
R_10HugIzPKzuo0nv,4,12 months,improve your health for the long-run,changing your sleep mindset,$20/month,the support of a community of people just like you,a method that has helped thousands,1
R_10HugIzPKzuo0nv,5,6 months,help you sleep without more pills,changing your sleep mindset,$20/month,"personalized, human coaching",leading researchers,1
R_10HugIzPKzuo0nv,6,3 months,help you sleep without more pills,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,leading researchers,1
R_10HugIzPKzuo0nv,7,6 months,help you lead a better life,empowering you to take back your sleep habits,$30/month,cognitive behavioral therapy,leading researchers,1
R_10HugIzPKzuo0nv,8,3 months,improve your health for the long-run,breaking bad habits and creating new routines,$40/month,daily text messages from a coach,scientific evidence,1
R_10HugIzPKzuo0nv,9,6 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$30/month,cognitive behavioral therapy,professional athletes,1
R_10IQxiTQQMASUft,1,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$40/month,the support of a community of people just like you,a method that has helped thousands,2
R_10IQxiTQQMASUft,10,6 months,help you sleep without more pills,breaking bad habits and creating new routines,$40/month,a program created just for you,scientific evidence,2
R_10IQxiTQQMASUft,11,3 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,the support of a community of people just like you,scientific evidence,2
R_10IQxiTQQMASUft,12,12 months,help you lead a better life,breaking bad habits and creating new routines,$40/month,"unique daily games, challenges and exercises",a method that has helped thousands,2
R_10IQxiTQQMASUft,2,6 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$30/month,daily text messages from a coach,a method that has helped thousands,2
R_10IQxiTQQMASUft,3,12 months,help you sleep without more pills,empowering you to take back your sleep habits,$20/month,daily text messages from a coach,professional athletes,3
R_10IQxiTQQMASUft,4,12 months,help you lead a better life,changing your sleep mindset,$20/month,daily text messages from a coach,leading researchers,2
R_10IQxiTQQMASUft,5,6 months,improve your sleep sustainably,empowering you to take back your sleep habits,$30/month,a program created just for you,leading researchers,3
R_10IQxiTQQMASUft,6,3 months,improve your sleep sustainably,changing your sleep mindset,$20/month,"unique daily games, challenges and exercises",leading researchers,3
R_10IQxiTQQMASUft,7,6 months,improve your health for the long-run,breaking bad habits and creating new routines,$20/month,"unique daily games, challenges and exercises",professional athletes,2
R_10IQxiTQQMASUft,8,3 months,help you sleep without more pills,empowering you to take back your sleep habits,$20/month,cognitive behavioral therapy,a method that has helped thousands,3
R_10IQxiTQQMASUft,9,3 months,help you lead a better life,changing your sleep mindset,$40/month,daily text messages from a coach,a method that has helped thousands,2
R_10O7AdmClrqxyNv,1,6 months,improve your health for the long-run,empowering you to take back your sleep habits,$40/month,"personalized, human coaching",professional athletes,1
R_10O7AdmClrqxyNv,10,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,a program created just for you,leading researchers,2
R_10O7AdmClrqxyNv,11,6 months,help you sleep without more pills,changing your sleep mindset,$40/month,"unique daily games, challenges and exercises",professional athletes,1
R_10O7AdmClrqxyNv,12,3 months,help you lead a better life,changing your sleep mindset,$20/month,"personalized, human coaching",professional athletes,2
R_10O7AdmClrqxyNv,2,12 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,the support of a community of people just like you,a method that has helped thousands,2
R_10O7AdmClrqxyNv,3,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$20/month,a program created just for you,professional athletes,2
R_10O7AdmClrqxyNv,4,3 months,improve your sleep sustainably,empowering you to take back your sleep habits,$40/month,a program created just for you,professional athletes,1
R_10O7AdmClrqxyNv,5,6 months,improve your sleep sustainably,changing your sleep mindset,$30/month,cognitive behavioral therapy,a method that has helped thousands,1
R_10O7AdmClrqxyNv,6,6 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$40/month,cognitive behavioral therapy,a method that has helped thousands,1
R_10O7AdmClrqxyNv,7,12 months,improve your sleep sustainably,changing your sleep mindset,$40/month,"unique daily games, challenges and exercises",professional athletes,1
R_10O7AdmClrqxyNv,8,12 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,the support of a community of people just like you,a method that has helped thousands,2
R_10O7AdmClrqxyNv,9,3 months,help you lead a better life,changing your sleep mindset,$30/month,"personalized, human coaching",scientific evidence,1
R_10ox3HOeSbk4qs1,1,3 months,help you sleep without more pills,breaking bad habits and creating new routines,$30/month,daily text messages from a coach,professional athletes,1
R_10ox3HOeSbk4qs1,10,6 months,help you lead a better life,breaking bad habits and creating new routines,$40/month,cognitive behavioral therapy,scientific evidence,1
R_10ox3HOeSbk4qs1,11,3 months,improve your health for the long-run,changing your sleep mindset,$40/month,cognitive behavioral therapy,scientific evidence,1
R_10ox3HOeSbk4qs1,12,12 months,improve your sleep sustainably,empowering you to take back your sleep habits,$20/month,daily text messages from a coach,professional athletes,2
R_10ox3HOeSbk4qs1,2,12 months,help you lead a better life,changing your sleep mindset,$20/month,a program created just for you,scientific evidence,1
R_10ox3HOeSbk4qs1,3,3 months,help you lead a better life,breaking bad habits and creating new routines,$20/month,daily text messages from a coach,leading researchers,1
R_10ox3HOeSbk4qs1,4,12 months,improve your sleep sustainably,empowering you to take back your sleep habits,$30/month,daily text messages from a coach,scientific evidence,2
R_10ox3HOeSbk4qs1,5,3 months,help you lead a better life,breaking bad habits and creating new routines,$30/month,a program created just for you,scientific evidence,2
R_10ox3HOeSbk4qs1,6,3 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,a program created just for you,a method that has helped thousands,2
R_10ox3HOeSbk4qs1,7,3 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$20/month,daily text messages from a coach,leading researchers,2
R_10ox3HOeSbk4qs1,8,12 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$40/month,cognitive behavioral therapy,a method that has helped thousands,1
R_10ox3HOeSbk4qs1,9,3 months,improve your health for the long-run,breaking bad habits and creating new routines,$30/month,cognitive behavioral therapy,scientific evidence,1
R_10VHoXGttzUad7R,1,6 months,improve your health for the long-run,empowering you to take back your sleep habits,$30/month,a program created just for you,scientific evidence,2
R_10VHoXGttzUad7R,10,3 months,help you lead a better life,changing your sleep mindset,$30/month,a program created just for you,a method that has helped thousands,2
R_10VHoXGttzUad7R,11,12 months,help you lead a better life,changing your sleep mindset,$20/month,the support of a community of people just like you,a method that has helped thousands,2
R_10VHoXGttzUad7R,12,12 months,help you sleep without more pills,breaking bad habits and creating new routines,$30/month,"unique daily games, challenges and exercises",professional athletes,2
R_10VHoXGttzUad7R,2,3 months,help you sleep without more pills,breaking bad habits and creating new routines,$30/month,a program created just for you,scientific evidence,2
R_10VHoXGttzUad7R,3,3 months,improve your sleep sustainably,changing your sleep mindset,$20/month,the support of a community of people just like you,professional athletes,2
R_10VHoXGttzUad7R,4,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$40/month,"personalized, human coaching",a method that has helped thousands,1
R_10VHoXGttzUad7R,5,3 months,improve your health for the long-run,empowering you to take back your sleep habits,$30/month,cognitive behavioral therapy,leading researchers,2
R_10VHoXGttzUad7R,6,3 months,help you lead a better life,empowering you to take back your sleep habits,$30/month,"personalized, human coaching",professional athletes,2
R_10VHoXGttzUad7R,7,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,"unique daily games, challenges and exercises",scientific evidence,2
R_10VHoXGttzUad7R,8,3 months,help you sleep without more pills,empowering you to take back your sleep habits,$30/month,"unique daily games, challenges and exercises",professional athletes,2
R_10VHoXGttzUad7R,9,12 months,help you lead a better life,breaking bad habits and creating new routines,$40/month,a program created just for you,leading researchers,1
R_10w0bC2DdAqbfmM,1,12 months,help you sleep without more pills,changing your sleep mindset,$20/month,daily text messages from a coach,a method that has helped thousands,1
R_10w0bC2DdAqbfmM,10,6 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$40/month,a program created just for you,scientific evidence,1
