response_id,d_urban,s_gender,s_race,d_education,s_hhincome,s_problem,m1_philosophy_1,m1_philosophy_2,m1_philosophy_3,m1_philosophy_4,m1_philosophy_5,m1_philosophy_6,m1_philosophy_7,m1_philosophy_8,m1_philosophy_9,m2_attitudes_1,m2_attitudes_2,m2_attitudes_3,m2_attitudes_4,m2_attitudes_5,m2_attitudes_6,m2_attitudes_7,m2_attitudes_8,m2_attitudes_9,m2_attitudes_10,m2_attitudes_11,m2_awareness_apps_1,m2_awareness_apps_4,m2_awareness_apps_5,m2_awareness_apps_6,m2_awareness_apps_7,m2_awareness_apps_8,m2_awareness_apps_9,m2_awareness_apps_10,m2_awareness_apps_11,m2_awareness_apps_12,m2_awareness_apps_13,m2_awareness_apps_14,hours,source_1,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,source_16,source_17,behavior_1,behavior_4,behavior_5,behavior_6,behavior_7,behavior_8,behavior_9,behavior_10,behavior_11,behavior_12,behavior_13,behavior_14,behavior_15,behavior_16,behavior_a_1,behavior_a_2,behavior_a_3,behavior_a_4,behavior_a_5,behavior_a_6,behavior_a_7,behavior_a_8,behavior_a_9,behavior_a_10,behavior_a_11,behavior_a_12,behavior_a_13,behavior_a_14,interst_cbt,past_coach,interest_coach,d_marital,d_h_hnumber,d_parent,d_child_infant,d_child_young,d_child_older,d_politics,d_political_view,d_employment,d_work_schedule,d_work_hours,s_region,s_age,weights
R_10HugIzPKzuo0nv,2,1,5,8,4,1,5,1,5,5,3,2,4,5,5,5,5,5,4,5,3,5,3,5,5,5,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,2,2,NA,NA,NA,1,2,5,NA,NA,NORTHEAST,65+,0.7143720599743731
R_2dnzcqJL93n7td5,2,2,5,8,1,3,1,2,1,4,2,2,1,1,2,3,4,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,3,6,2,2,NA,NA,NA,5,3,5,NA,NA,NORTHEAST,46-64,1.2309161698089597
R_3DzhMzVp0vHCK2t,2,1,5,5,4,3,3,2,3,4,4,2,2,3,4,5,4,3,1,3,4,4,4,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,2,NA,NA,NA,3,3,5,NA,NA,SOUTH,65+,1.1290649787980505
R_9HwhzKUr5bTcOC5,1,1,5,8,3,3,5,1,4,2,3,3,3,4,5,5,5,5,3,3,5,5,2,5,5,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,1,2,NA,NA,NA,3,3,5,NA,NA,WEST,65+,0.8729060154708477
R_2rk0Y8pfmztN0Wy,2,2,5,2,4,3,5,1,3,5,3,4,3,4,5,5,4,2,3,3,3,4,5,3,1,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,1,2,2,NA,NA,NA,2,3,5,NA,NA,SOUTH,65+,0.8952920347462853
R_yCSV2865YRmVm2B,2,2,5,6,2,3,4,4,3,4,4,2,5,5,3,5,5,5,3,4,5,5,4,5,3,5,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,4,2,5,1,2,2,NA,NA,NA,2,2,5,NA,NA,NORTHEAST,65+,0.5512029183589965
R_3WQveJnZikukdix,3,1,5,9,3,3,2,5,3,5,2,3,2,2,3,4,4,3,3,3,5,4,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,5,5,5,NA,NA,WEST,65+,0.8729060154708477
R_qyfsQx3cDswouyZ,2,1,5,7,4,3,5,1,5,4,2,2,3,4,5,5,5,4,2,1,5,5,2,5,5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,1,2,2,NA,NA,NA,5,5,5,NA,NA,SOUTH,65+,1.1290649787980505
R_AtidLGnx8rUTgSR,1,1,5,4,4,3,4,1,5,3,4,2,3,5,2,5,4,3,2,4,3,4,4,4,4,3,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,5,5,5,NA,NA,SOUTH,65+,1.1290649787980505
R_1kUht2RHPnLwy78,2,1,5,9,4,1,5,1,4,2,2,2,2,2,2,5,5,2,4,3,2,4,2,5,5,4,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,2,2,NA,NA,NA,3,4,2,2,2,WEST,65+,0.7789522385113004
R_1lxDtPjdmVeTJli,1,2,5,2,1,3,3,3,3,1,5,1,3,3,1,1,5,3,1,1,5,3,3,5,1,5,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,3,1,3,1,1,3,5,1,4,3,WEST,18-30,0.7607600225350936
R_24pcxFeU9zqMP1J,1,2,5,8,2,3,5,2,4,4,3,3,4,4,4,5,5,5,2,2,4,5,5,4,5,4,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,2,NA,3,2,NA,1,2,1,3,2,2,NA,NA,NA,3,2,5,NA,NA,MIDWEST,65+,0.6257480360864494
R_uqd7r1sWeU53G0h,2,2,5,2,2,3,4,1,4,3,1,1,3,4,5,5,4,2,4,4,5,5,4,4,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,3,4,5,NA,NA,MIDWEST,65+,0.6257480360864494
R_1o14j9yObgpIO8Q,1,2,2,7,3,2,4,2,4,4,4,3,5,4,5,5,4,4,2,3,4,4,4,4,4,4,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,2,4,1,2,2,NA,NA,NA,2,4,1,1,3,WEST,65+,1.5559982079886026
R_3iDRagenKTBDRdC,2,1,5,7,3,2,3,2,4,3,2,2,4,5,2,4,4,3,4,4,5,4,4,4,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,3,4,5,NA,NA,SOUTH,65+,1.2652478074058267
R_3M5MTgjDTK8RWES,2,1,1,6,2,3,4,3,4,1,3,3,5,4,3,5,5,5,3,1,5,5,1,3,5,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,5,1,2,NA,NA,NA,4,4,4,NA,NA,SOUTH,31-45,1.267165463182571
R_SK5XFHI38DdRBFD,1,1,5,5,1,1,5,3,3,4,3,3,2,4,4,2,2,2,3,2,2,3,4,4,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,2,1,2,2,NA,NA,NA,1,3,5,NA,NA,MIDWEST,46-64,1.7622628247333791
R_2cdtUuaWfO5Nfb9,2,2,5,2,2,2,2,3,4,5,2,3,3,4,4,5,5,4,2,3,3,3,4,4,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,5,NA,NA,2,2,3,1,2,2,NA,NA,NA,3,3,4,NA,NA,SOUTH,65+,0.8711761646343633
R_3CT4KOGY6BzpwbE,3,1,5,7,4,3,4,1,4,3,3,1,1,3,5,3,3,2,4,2,3,3,4,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,3,3,1,1,3,WEST,46-64,1.0808361431611742
R_3kmLaLIFJcMVLbn,2,1,5,6,3,1,5,1,5,2,1,1,2,4,2,4,2,1,4,2,5,4,3,3,1,2,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,3,4,5,NA,NA,MIDWEST,65+,0.9088016440155631
R_2EA9IB9zTVU5LuX,2,2,5,4,3,3,3,3,2,2,3,3,4,5,3,4,4,5,3,3,3,3,4,4,4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,2,NA,NA,NA,3,3,7,NA,NA,NORTHEAST,46-64,0.8807972101136126
R_Dlg99RRO5k26jD3,1,1,5,8,3,1,5,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,4,4,5,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,1,2,1,3,1,1,2,2,1,1,1,1,2,SOUTH,31-45,1.0497466560686306
R_URPUCvKp6yllIyt,2,1,5,6,4,2,5,1,3,4,1,1,4,4,5,5,3,2,4,4,1,4,4,5,3,4,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,5,2,2,NA,NA,NA,3,2,5,NA,NA,SOUTH,46-64,1.5666355095078583
R_2qgxXfUcdekh9oZ,2,2,5,6,3,1,3,1,5,5,5,4,5,5,1,5,4,3,1,4,5,4,4,3,1,4,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,NA,NA,2,1,1,1,3,SOUTH,46-64,1.3920999141511539
R_4GyrvakFEKdsFpf,1,1,1,2,1,1,5,5,5,3,5,5,5,4,4,5,4,5,5,5,3,5,4,3,5,4,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,2,1,1,2,1,1,1,3,NA,NA,WEST,18-30,1.3337244694960246
R_3hB0xZYgVodsbks,2,2,5,6,3,1,3,3,3,3,3,4,2,3,4,5,5,5,5,5,3,4,3,5,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,2,1,4,4,4,NA,NA,SOUTH,46-64,1.3920999141511539
R_XIkUfCapuyR9r57,2,2,5,2,3,1,5,5,1,5,5,5,5,5,5,5,5,5,2,4,4,3,3,5,5,4,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,5,2,2,NA,NA,NA,1,1,4,NA,NA,MIDWEST,18-30,0.5667568186566031
R_3M56cULtKuSVVFy,2,2,5,2,2,1,3,4,3,4,3,2,3,4,3,3,3,3,3,2,4,3,3,3,4,5,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,3,NA,NA,NA,1,2,3,5,3,1,1,2,1,3,1,4,NA,NA,NORTHEAST,18-30,0.4335042645591129
R_PSqqbJx2WGNU6s1,2,2,2,7,3,1,4,4,4,4,3,4,3,5,5,4,4,3,4,4,5,4,4,4,4,4,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,3,2,1,2,1,2,2,2,WEST,31-45,1.2909754959653568
R_BJlSwpoPnLdcjdL,1,2,5,2,3,3,5,2,4,4,3,2,4,5,4,5,5,4,2,4,4,4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,2,5,5,3,2,NA,NA,NA,1,2,5,NA,NA,MIDWEST,65+,0.7206342312712849
R_1jJOORbpSIUHdWS,3,2,5,5,1,1,2,4,3,4,3,4,4,2,4,5,5,5,4,4,4,5,5,5,3,4,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,NA,NA,NA,3,2,3,2,1,2,NA,NA,NA,6,3,1,1,2,SOUTH,46-64,1.9454628995671899
R_WoE9I2usK0o7h1D,2,2,5,4,2,2,2,2,3,3,4,4,5,5,4,5,5,5,4,5,3,5,4,5,5,4,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,3,2,1,3,2,2,NA,NA,NA,5,5,2,1,1,SOUTH,46-64,1.2088015660586482
R_wYnW8VOToaeEdCF,2,1,5,8,4,3,4,5,4,4,4,5,4,4,4,5,4,4,5,5,5,4,4,4,4,4,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,1,1,1,3,1,3,2,2,4,4,1,1,2,WEST,31-45,0.646278541506403
R_8v5vCCtCpEOxGH7,1,2,1,4,1,1,5,5,3,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,2,1,2,2,1,2,2,7,NA,NA,NORTHEAST,31-45,1.0231812532645954
R_22xpdDOT7aGSJWQ,1,1,5,5,1,1,4,2,4,4,3,4,4,4,4,4,4,4,3,2,2,4,4,4,3,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,1,2,NA,NA,NA,3,3,5,NA,NA,WEST,65+,1.219888206762124
